Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
2630,EEE1001,Basic Electrical and Electronics Engineering,Dr. puskar,4,1,1,1,4
2631,MAT1014,Discrete Mathematics and Graph Theory,Dr. bohati,5,1,2,1,2
2632,CSE2013,Theory of Computation,Dr. pritibha,2,3,1,5,2
2633,CSE1007 ,Java Programming,Dr. shushil,3,3,0,1,3
2634,CSE4011 ,Virtualization,Dr. balwan,1,1,1,3,5
2635,CSE3018 ,Content Based Image and Video Retrieval,Dr. noorjhan,3,5,1,5,4
2636,CSE2011 ,Data Structures and Algorithms,Dr. yamini,4,4,0,1,2
2637,CSE2005 ,Operating Systems,Dr. koushik,3,3,2,2,4
2638,CSE3021 ,Social and Information Networks,Dr. givinda,4,5,2,1,2
2639,CSE3506,Essentials of Data Analytics,Dr. kingkar,3,5,3,2,2
2640,CSE3024 ,Web Mining,Dr. rennu,4,5,2,1,3
2641,CSE2012,Design and analysis of algorithms,Dr. keval,5,3,2,1,5
2642,CSE3001 ,Software Engineering,Dr. rimpi,5,1,4,4,5
2643,CSE3021 ,Social and Information Networks,Dr. rekha,1,4,1,4,3
2644,EEE1001,Basic Electrical and Electronics Engineering,Dr. indira,1,4,1,4,4
2645,CSE3024 ,Web Mining,Dr. karmi,3,4,0,5,5
2646,MAT3004 ,Applied Linear Algebra,Dr. sila,1,5,4,2,4
2647,CSE2011 ,Data Structures and Algorithms,Dr. rashmi,2,2,5,4,5
2648,MAT1014,Discrete Mathematics and Graph Theory,Dr. prameshwar,5,4,5,5,5
2649,ECE3502,IoT Domain Analyst,Dr. sahdev,5,3,3,5,2
2650,CSE2004 ,Database Management Systems,Dr. ashrabi,3,3,0,2,2
2651,CSE2023,Robotic Process Automation,Dr. muntjar,4,2,0,2,2
2652,CSE4020 ,Machine Learning,Dr. neki,5,5,1,2,4
2653,EEE1001,Basic Electrical and Electronics Engineering,Dr. dya,5,2,0,5,3
2654,CSE3505,Foundations of Data Analytics,Dr. nazrana,3,2,6,5,5
2655,CSE1003 ,Digital Logic and Design,Dr. batu,3,4,2,3,2
2656,CSE4001 ,Parallel and Distributed Computing,Dr. maujim,2,4,1,5,5
2657,CSE3001 ,Software Engineering,Dr. noore,4,5,2,2,3
2658,ECE3502,IoT Domain Analyst,Dr. lilaki,3,5,5,2,5
2659,CSE3024 ,Web Mining,Dr. bashudev,2,4,2,4,4
2660,CSE2005 ,Operating Systems,Dr. jitendr,4,5,1,4,2
2661,CSE4004 ,Digital Forensics,Dr. sohail,3,1,1,2,5
2662,CSE2004 ,Database Management Systems,Dr. abhijit,3,4,2,5,4
2663,ECE3501,IoT Fundamentals,Dr. najimuddin,1,2,1,4,2
2664,CSE3029 ,Game Programming,Dr. shivji,1,5,3,2,5
2665,CSE2011 ,Data Structures and Algorithms,Dr. ashtha,5,2,3,5,3
2666,CSE4019 ,Image Processing,Dr. saeshta,1,2,4,2,5
2667,MAT2002,Applications of Differential and Difference Equations,Dr. jatan,2,3,1,3,2
2668,CSE4014 ,High Performance Computing,Dr. noori,5,1,0,2,4
2669,CSE3006 ,Embedded System Design,Dr. rabin,1,1,2,1,3
2670,CSE3025 ,Large Scale Data Processing,Dr. amrooti,1,2,1,4,5
2671,CSE3013 ,Artificial Intelligence,Dr. indta,4,2,2,5,5
2672,CSE2012,Design and analysis of algorithms,Dr. kaari,5,2,4,2,5
2673,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. aabid,3,5,1,4,4
2674,CSE4019 ,Image Processing,Dr. utpana,5,5,1,5,2
2675,CSE4019 ,Image Processing,Dr. nikhil,1,5,4,2,5
2676,CSE1004 ,Network and Communication,Dr. rukya,2,3,1,2,5
2677,CSE2011 ,Data Structures and Algorithms,Dr. vasiya,1,4,2,3,4
2678,CSE3021 ,Social and Information Networks,Dr. sarmila,5,4,1,4,4
2679,CSE2001 ,Computer Architecture and Organization,Dr. nikky,2,5,4,3,5
2680,EEE1001,Basic Electrical and Electronics Engineering,Dr. madhubala,2,3,1,1,4
2681,CSE3029 ,Game Programming,Dr. yashika,1,2,0,2,2
2682,CSE2006 ,Microprocessor and Interfacing,Dr. yadram,3,5,2,5,5
2683,MAT3004 ,Applied Linear Algebra,Dr. jeete,2,4,4,5,5
2684,ECE3501,IoT Fundamentals,Dr. azmira,3,2,0,1,2
2685,CSE1004 ,Network and Communication,Dr. rishma,1,4,2,2,2
2686,CSE2004 ,Database Management Systems,Dr. aashif,2,1,1,5,3
2687,CSE4020 ,Machine Learning,Dr. bhatari,2,2,1,5,2
2688,CSE4004 ,Digital Forensics,Dr. montu,2,2,0,3,2
2689,CSE3021 ,Social and Information Networks,Dr. udaiveer,2,5,2,3,3
2690,ECE3501,IoT Fundamentals,Dr. mangeram,4,1,2,1,5
2691,CSE2001 ,Computer Architecture and Organization,Dr. rajit,1,3,3,3,2
2692,CSE3001 ,Software Engineering,Dr. chandeshwar,4,5,0,1,5
2693,ECE3502,IoT Domain Analyst,Dr. hanshraj,2,2,3,3,4
2694,CSE2013,Theory of Computation,Dr. atul,2,3,1,5,2
2695,CSE2001 ,Computer Architecture and Organization,Dr. dhanna,4,1,4,3,5
2696,CSE3025 ,Large Scale Data Processing,Dr. tofik,4,3,3,4,4
2697,MAT1014,Discrete Mathematics and Graph Theory,Dr. avfesh,4,3,2,1,4
2698,CSE4001 ,Parallel and Distributed Computing,Dr. premnarayan,4,3,3,5,4
2699,CSE4015 ,Human Computer Interaction,Dr. premla,5,5,0,1,5
2700,CSE2013,Theory of Computation,Dr. araddhna,5,4,2,3,4
2701,CSE4003 ,Cyber Security,Dr. phakir,1,2,2,1,2
2702,CSE3006 ,Embedded System Design,Dr. baita,1,2,2,3,5
2703,CSE3025 ,Large Scale Data Processing,Dr. meenakashi,5,4,2,3,4
2704,CSE4020 ,Machine Learning,Dr. lok,2,2,4,4,3
2705,CSE3501,Information Security Analysis and Audit,Dr. shelendra,1,1,2,1,2
2706,CSE3011 ,Robotics and its Applications,Dr. foranta,4,3,4,3,5
2707,MAT2002,Applications of Differential and Difference Equations,Dr. manmeet,3,3,2,3,3
2708,CSE1003 ,Digital Logic and Design,Dr. rena,3,4,0,4,2
2709,CSE2001 ,Computer Architecture and Organization,Dr. kouchu,2,3,4,5,5
2710,CSE4014 ,High Performance Computing,Dr. sumesh,4,3,1,4,2
2711,CSE1007 ,Java Programming,Dr. kuntesh,4,1,1,1,3
2712,CSE2004 ,Database Management Systems,Dr. mahfooj,3,4,2,4,4
2713,CSE3001 ,Software Engineering,Dr. souvik,3,3,3,2,4
2714,CSE3001 ,Software Engineering,Dr. parbha,4,4,4,5,5
2715,CSE4011 ,Virtualization,Dr. shyoram,4,4,2,4,3
2716,CSE3506,Essentials of Data Analytics,Dr. priyansu,2,2,2,4,4
2717,ECE3501,IoT Fundamentals,Dr. prhalad,1,3,3,3,3
2718,CSE2006 ,Microprocessor and Interfacing,Dr. shankuntla,5,2,2,1,4
2719,CSE4011 ,Virtualization,Dr. imsaan,5,2,3,4,3
2720,CSE3006 ,Embedded System Design,Dr. akbari,5,1,0,3,5
2721,CSE1004 ,Network and Communication,Dr. davender,1,2,1,1,2
2722,CSE4003 ,Cyber Security,Dr. dhola,5,5,3,2,4
2723,CSE2004 ,Database Management Systems,Dr. kavilash,2,4,6,1,5
2724,CSE3018 ,Content Based Image and Video Retrieval,Dr. angan,5,4,2,2,4
2725,MAT3004 ,Applied Linear Algebra,Dr. raspal,5,5,4,5,5
2726,EEE1001,Basic Electrical and Electronics Engineering,Dr. shan,1,5,1,4,3
2727,CSE2004 ,Database Management Systems,Dr. bisto,5,3,4,1,3
2728,CSE3024 ,Web Mining,Dr. chintan,4,1,1,3,5
2729,CSE1003 ,Digital Logic and Design,Dr. bhanmati,1,4,2,2,3
2730,CSE4014 ,High Performance Computing,Dr. gawri,1,5,3,1,3
2731,CSE2014,Compiler Design,Dr. aazadi,2,1,2,5,2
2732,CSE2006 ,Microprocessor and Interfacing,Dr. parven,2,3,2,2,3
2733,MAT3004 ,Applied Linear Algebra,Dr. rosy,5,4,4,3,4
2734,CSE2005 ,Operating Systems,Dr. kushal,3,3,3,5,4
2735,MAT3004 ,Applied Linear Algebra,Dr. tinvkal,1,1,2,5,4
2736,CSE2014,Compiler Design,Dr. menakshi,2,1,3,4,4
2737,CSE4011 ,Virtualization,Dr. vibha,1,1,2,5,5
2738,CSE3502,Information Security Management,Dr. kaishav,3,1,1,4,4
2739,CSE4020 ,Machine Learning,Dr. hasibullah,1,1,0,3,4
2740,CSE2023,Robotic Process Automation,Dr. joity,1,1,0,4,2
2741,CSE3024 ,Web Mining,Dr. kiniya,3,1,1,4,4
2742,CSE3001 ,Software Engineering,Dr. bhavna,3,5,1,3,5
2743,CSE2001 ,Computer Architecture and Organization,Dr. bapu,1,5,4,4,3
2744,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. raju,4,2,1,1,3
2745,CSE3506,Essentials of Data Analytics,Dr. prabhatyashi,5,5,0,3,3
2746,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. sukul,4,4,0,1,4
2747,CSE1003 ,Digital Logic and Design,Dr. safali,5,2,1,1,2
2748,CSE3009 ,Internet of Things,Dr. dolat,5,4,1,5,2
2749,CSE1003 ,Digital Logic and Design,Dr. bhawan,2,3,1,5,3
2750,CSE4020 ,Machine Learning,Dr. smarti,1,3,0,2,5
2751,CSE1003 ,Digital Logic and Design,Dr. sakiran,4,4,1,3,5
2752,CSE2005 ,Operating Systems,Dr. afsana,3,2,1,2,2
2753,CSE3006 ,Embedded System Design,Dr. jeetu,2,2,2,2,2
2754,CSE4015 ,Human Computer Interaction,Dr. shushma,4,3,2,3,3
2755,CSE3002 ,Internet and Web Programming,Dr. amrika,4,2,3,2,4
2756,CSE3501,Information Security Analysis and Audit,Dr. juvel,2,4,1,4,4
2757,CSE2014,Compiler Design,Dr. tabassum,1,2,1,5,5
2758,CSE3018 ,Content Based Image and Video Retrieval,Dr. tinki,4,2,0,1,3
2759,MAT1014,Discrete Mathematics and Graph Theory,Dr. miraz,2,3,1,4,4
2760,CSE1003 ,Digital Logic and Design,Dr. aarushi,4,4,1,4,2
2761,CSE3006 ,Embedded System Design,Dr. shilpi,3,5,2,4,2
2762,CSE4022 ,Natural Language Processing,Dr. taushif,2,5,1,5,2
2763,CSE4011 ,Virtualization,Dr. jaiparkash,4,2,2,5,3
2764,CSE3029 ,Game Programming,Dr. nazim,5,2,0,4,5
2765,CSE3024 ,Web Mining,Dr. nek,4,5,1,1,2
2766,CSE3013 ,Artificial Intelligence,Dr. anup,5,5,1,1,3
2767,CSE3024 ,Web Mining,Dr. zeshan,5,2,2,3,2
2768,CSE4019 ,Image Processing,Dr. sunilrawat,5,2,2,3,4
2769,CSE3506,Essentials of Data Analytics,Dr. roshani,2,2,1,2,3
2770,CSE1003 ,Digital Logic and Design,Dr. vipol,2,2,1,3,3
2771,CSE3025 ,Large Scale Data Processing,Dr. sheru,4,5,2,3,5
2772,MAT2002,Applications of Differential and Difference Equations,Dr. safina,5,5,3,5,4
2773,CSE3013 ,Artificial Intelligence,Dr. ramkumar,5,2,3,5,5
2774,CSE1007 ,Java Programming,Dr. arbana,4,3,3,2,4
2775,CSE3025 ,Large Scale Data Processing,Dr. kamna,2,1,1,4,2
2776,CSE4015 ,Human Computer Interaction,Dr. sabi,1,5,2,4,2
2777,CSE3024 ,Web Mining,Dr. kamleshwar,1,2,1,3,2
2778,CSE2004 ,Database Management Systems,Dr. vashila,2,1,1,2,2
2779,CSE3506,Essentials of Data Analytics,Dr. vihsal,2,2,4,5,3
2780,CSE3029 ,Game Programming,Dr. dilshana,1,4,1,5,4
2781,CSE3020 ,Data Visualization,Dr. nandi,1,1,1,2,5
2782,CSE3013 ,Artificial Intelligence,Dr. shelesh,2,3,2,5,2
2783,CSE4004 ,Digital Forensics,Dr. halima,1,2,0,4,2
2784,CSE1007 ,Java Programming,Dr. somprakash,2,5,3,3,4
2785,CSE2013,Theory of Computation,Dr. chandrram,4,1,1,5,3
2786,CSE1003 ,Digital Logic and Design,Dr. nayana,1,3,1,5,3
2787,CSE3011 ,Robotics and its Applications,Dr. bima,2,2,1,1,4
2788,CSE4001 ,Parallel and Distributed Computing,Dr. keshri,4,5,2,4,4
2789,CSE2013,Theory of Computation,Dr. papp,5,4,1,5,2
2790,CSE4004 ,Digital Forensics,Dr. bachu,4,5,2,2,4
2791,CSE2006 ,Microprocessor and Interfacing,Dr. vijaynti,1,3,3,5,4
2792,CSE3001 ,Software Engineering,Dr. dhanpati,2,2,3,3,3
2793,ECE3502,IoT Domain Analyst,Dr. shoyab,5,1,1,1,5
2794,EEE1001,Basic Electrical and Electronics Engineering,Dr. rustam,1,4,3,3,2
2795,CSE4014 ,High Performance Computing,Dr. barj,3,5,1,1,2
2796,EEE1001,Basic Electrical and Electronics Engineering,Dr. takshila,4,5,2,5,4
2797,CSE3505,Foundations of Data Analytics,Dr. priyansu,4,4,1,3,3
2798,CSE2006 ,Microprocessor and Interfacing,Dr. ishatkar,3,2,6,4,5
2799,CSE2005 ,Operating Systems,Dr. palvinder,5,5,0,5,5
2800,CSE2012,Design and analysis of algorithms,Dr. isika,3,3,2,1,4
2801,CSE2011 ,Data Structures and Algorithms,Dr. rubby,2,4,3,5,5
2802,CSE3501,Information Security Analysis and Audit,Dr. lakhami,5,5,3,4,3
2803,CSE4020 ,Machine Learning,Dr. abhinav,2,4,1,2,3
2804,CSE3021 ,Social and Information Networks,Dr. toni,1,4,1,1,3
2805,CSE3025 ,Large Scale Data Processing,Dr. saieman,4,2,3,5,5
2806,CSE1004 ,Network and Communication,Dr. gopi,4,5,2,4,3
2807,CSE3025 ,Large Scale Data Processing,Dr. sunaina,3,4,1,1,3
2808,CSE4004 ,Digital Forensics,Dr. shiva,4,2,2,4,3
2809,CSE1003 ,Digital Logic and Design,Dr. mushir,5,2,3,1,3
2810,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. shamsuddin,5,4,0,5,3
2811,CSE3029 ,Game Programming,Dr. chintu,3,2,3,5,3
2812,CSE3020 ,Data Visualization,Dr. sanjay,4,2,2,5,3
2813,EEE1001,Basic Electrical and Electronics Engineering,Dr. vicakha,5,1,3,1,3
2814,CSE3506,Essentials of Data Analytics,Dr. sarwan,1,2,1,1,3
2815,CSE4020 ,Machine Learning,Dr. tisar,5,1,2,4,5
2816,ECE3501,IoT Fundamentals,Dr. bishnu,1,3,4,2,4
2817,CSE4019 ,Image Processing,Dr. constable,2,1,4,1,3
2818,ECE3501,IoT Fundamentals,Dr. neema,4,3,2,2,3
2819,CSE3506,Essentials of Data Analytics,Dr. tohir,1,4,2,2,3
2820,EEE1001,Basic Electrical and Electronics Engineering,Dr. aleesha,3,4,2,1,2
2821,CSE3029 ,Game Programming,Dr. ashiya,1,2,5,5,5
2822,CSE4014 ,High Performance Computing,Dr. abhishak,1,3,1,3,4
2823,CSE3013 ,Artificial Intelligence,Dr. samvedna,1,5,1,2,4
2824,CSE3013 ,Artificial Intelligence,Dr. shamim,3,5,4,3,5
2825,CSE2014,Compiler Design,Dr. razim,5,2,1,4,3
2826,CSE3009 ,Internet of Things,Dr. gaytree,5,1,1,3,5
2827,CSE1003 ,Digital Logic and Design,Dr. safiq,5,5,2,5,4
2828,CSE2013,Theory of Computation,Dr. phulbi,2,5,2,3,3
2829,CSE3002 ,Internet and Web Programming,Dr. ajnabi,2,1,0,2,4
2830,CSE3505,Foundations of Data Analytics,Dr. chunaram,1,3,3,2,2
2831,CSE1003 ,Digital Logic and Design,Dr. sarwan,3,4,2,4,3
2832,CSE3013 ,Artificial Intelligence,Dr. kayamuddin,2,4,2,2,4
2833,MAT1014,Discrete Mathematics and Graph Theory,Dr. misbah,2,1,3,4,3
2834,CSE3029 ,Game Programming,Dr. jitin,2,2,2,1,4
2835,CSE3021 ,Social and Information Networks,Dr. lila,4,4,2,4,2
2836,CSE4015 ,Human Computer Interaction,Dr. parbhu,5,2,4,2,5
2837,CSE3025 ,Large Scale Data Processing,Dr. nitika,5,1,3,1,3
2838,CSE2012,Design and analysis of algorithms,Dr. bajrangi,1,1,0,2,3
2839,CSE4014 ,High Performance Computing,Dr. pankajsheel,2,4,2,3,5
2840,CSE3013 ,Artificial Intelligence,Dr. mamraj,1,3,2,5,5
2841,CSE2014,Compiler Design,Dr. gheesa,2,5,1,2,3
2842,CSE3501,Information Security Analysis and Audit,Dr. farmaan,1,3,0,1,2
2843,CSE1007 ,Java Programming,Dr. swati,1,3,3,2,3
2844,EEE1001,Basic Electrical and Electronics Engineering,Dr. najubai,3,2,2,4,3
2845,CSE3505,Foundations of Data Analytics,Dr. sube,3,2,0,2,2
2846,CSE3011 ,Robotics and its Applications,Dr. dasharath,5,2,3,4,4
2847,ECE3501,IoT Fundamentals,Dr. farku,3,5,1,3,3
2848,CSE3505,Foundations of Data Analytics,Dr. nenhe,1,2,2,2,3
2849,CSE3002 ,Internet and Web Programming,Dr. chakra,4,3,2,2,2
2850,CSE4015 ,Human Computer Interaction,Dr. dhaneswar,2,1,2,5,4
2851,ECE3501,IoT Fundamentals,Dr. shabbo,2,4,2,2,5
2852,CSE3506,Essentials of Data Analytics,Dr. basanti,4,4,3,1,3
2853,CSE2023,Robotic Process Automation,Dr. kayamuddin,2,1,0,3,5
2854,CSE3506,Essentials of Data Analytics,Dr. tilakraj,1,3,3,5,4
2855,CSE1004 ,Network and Communication,Dr. navdeep,1,2,1,3,2
2856,CSE4022 ,Natural Language Processing,Dr. dharminder,1,1,0,3,5
2857,ECE3501,IoT Fundamentals,Dr. pancham,2,2,1,2,5
2858,CSE2005 ,Operating Systems,Dr. sazmin,4,4,5,3,5
2859,CSE2011 ,Data Structures and Algorithms,Dr. sabba,4,4,3,3,4
2860,CSE3024 ,Web Mining,Dr. rasmi,1,5,0,1,5
2861,CSE3029 ,Game Programming,Dr. gytri,1,1,2,5,3
2862,CSE3501,Information Security Analysis and Audit,Dr. keshav,1,3,2,3,5
2863,CSE2011 ,Data Structures and Algorithms,Dr. saveena,5,5,3,4,4
2864,MAT2002,Applications of Differential and Difference Equations,Dr. asgari,3,2,2,5,3
2865,MAT3004 ,Applied Linear Algebra,Dr. nej,4,2,2,5,3
2866,CSE3006 ,Embedded System Design,Dr. nadir,5,5,2,4,3
2867,CSE3011 ,Robotics and its Applications,Dr. riyajuddin,4,5,1,1,5
2868,CSE3009 ,Internet of Things,Dr. subhakar,1,4,3,2,3
2869,CSE3502,Information Security Management,Dr. naruram,1,2,4,1,5
2870,MAT3004 ,Applied Linear Algebra,Dr. sobi,3,1,0,4,3
2871,CSE3025 ,Large Scale Data Processing,Dr. surjiya,3,5,1,2,5
2872,CSE4020 ,Machine Learning,Dr. jhuma,4,4,3,2,3
2873,CSE2011 ,Data Structures and Algorithms,Dr. mehronisha,4,4,0,2,2
2874,CSE3025 ,Large Scale Data Processing,Dr. maaya,3,5,2,3,3
2875,CSE4004 ,Digital Forensics,Dr. shefali,4,4,2,4,3
2876,CSE3009 ,Internet of Things,Dr. name,3,2,4,5,3
2877,CSE3029 ,Game Programming,Dr. deepika,3,2,5,5,4
2878,CSE3018 ,Content Based Image and Video Retrieval,Dr. puspa&,5,2,4,3,5
2879,CSE3009 ,Internet of Things,Dr. shikha,5,3,1,4,4
2880,CSE4011 ,Virtualization,Dr. chanderkali,2,1,3,2,4
2881,CSE4003 ,Cyber Security,Dr. moshin,1,4,5,4,5
2882,CSE4014 ,High Performance Computing,Dr. sanwar,3,3,0,2,5
2883,MAT2002,Applications of Differential and Difference Equations,Dr. sahishta,2,2,2,3,4
2884,MAT1014,Discrete Mathematics and Graph Theory,Dr. mangla,2,4,4,5,5
2885,CSE4011 ,Virtualization,Dr. mina,2,1,1,5,4
2886,CSE3018 ,Content Based Image and Video Retrieval,Dr. jameer,2,2,2,5,2
2887,CSE3018 ,Content Based Image and Video Retrieval,Dr. balam,3,1,1,1,3
2888,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. kunti,5,3,3,4,3
2889,CSE3006 ,Embedded System Design,Dr. saku,3,2,1,4,2
2890,CSE3502,Information Security Management,Dr. laja,5,4,2,5,3
2891,CSE3024 ,Web Mining,Dr. sandya,4,1,4,2,5
2892,CSE1004 ,Network and Communication,Dr. kalla,4,3,2,2,3
2893,CSE3021 ,Social and Information Networks,Dr. kuwar,3,5,3,4,3
2894,CSE4004 ,Digital Forensics,Dr. tanvir,1,5,0,2,2
2895,CSE3006 ,Embedded System Design,Dr. rocky,2,1,1,1,3
2896,CSE3025 ,Large Scale Data Processing,Dr. ashshwer,2,5,1,4,2
2897,CSE3506,Essentials of Data Analytics,Dr. ranjnika,5,4,1,1,3
2898,CSE4019 ,Image Processing,Dr. purva,2,5,3,4,5
2899,CSE2004 ,Database Management Systems,Dr. bholi,1,3,2,1,3
2900,CSE3024 ,Web Mining,Dr. shambu,2,3,2,2,2
2901,ECE3502,IoT Domain Analyst,Dr. sikander,1,5,1,4,3
2902,CSE3505,Foundations of Data Analytics,Dr. gytri,2,4,4,5,5
2903,MAT3004 ,Applied Linear Algebra,Dr. roop,5,1,1,3,4
2904,CSE3002 ,Internet and Web Programming,Dr. jaskaran,4,4,1,1,2
2905,ECE3501,IoT Fundamentals,Dr. seeva,1,2,2,3,4
2906,CSE3018 ,Content Based Image and Video Retrieval,Dr. samiya,3,3,3,5,5
2907,CSE4003 ,Cyber Security,Dr. deepvhand,1,2,4,3,5
2908,MAT2002,Applications of Differential and Difference Equations,Dr. pabitra,5,4,1,3,2
2909,CSE2011 ,Data Structures and Algorithms,Dr. anshiya,4,4,0,5,2
2910,CSE3013 ,Artificial Intelligence,Dr. sudma,1,1,5,5,5
2911,CSE3020 ,Data Visualization,Dr. jeeth,3,5,1,5,3
2912,CSE3505,Foundations of Data Analytics,Dr. kamaldeep,3,2,2,5,2
2913,CSE2013,Theory of Computation,Dr. sarangthem,5,2,1,3,4
2914,CSE2004 ,Database Management Systems,Dr. faim,1,2,4,4,3
2915,CSE3502,Information Security Management,Dr. sandiya,4,1,2,5,2
2916,CSE1007 ,Java Programming,Dr. teja,5,3,2,4,5
2917,CSE1007 ,Java Programming,Dr. kosaleya,4,3,2,4,3
2918,CSE2006 ,Microprocessor and Interfacing,Dr. methun,3,1,3,2,2
2919,CSE3024 ,Web Mining,Dr. rihana,2,3,4,5,5
2920,MAT2002,Applications of Differential and Difference Equations,Dr. araddhna,2,4,2,2,4
2921,CSE3011 ,Robotics and its Applications,Dr. spna,2,1,1,1,2
2922,CSE2001 ,Computer Architecture and Organization,Dr. munnadevi,5,2,2,2,2
2923,CSE2011 ,Data Structures and Algorithms,Dr. sajma,2,4,2,5,2
2924,CSE4001 ,Parallel and Distributed Computing,Dr. ruksar,3,5,1,1,4
2925,CSE3021 ,Social and Information Networks,Dr. musrat,3,1,1,5,5
2926,CSE2001 ,Computer Architecture and Organization,Dr. kiranti,2,2,3,4,3
2927,CSE2023,Robotic Process Automation,"Dr. soniya,",5,5,1,3,2
2928,CSE3501,Information Security Analysis and Audit,Dr. sumirta,5,2,6,5,5
2929,CSE1003 ,Digital Logic and Design,Dr. puneeta,5,1,2,3,3
2930,ECE3501,IoT Fundamentals,Dr. jeba,5,2,0,3,5
2931,EEE1001,Basic Electrical and Electronics Engineering,Dr. gulnaza,1,5,5,1,5
2932,CSE3025 ,Large Scale Data Processing,Dr. sushail,5,1,0,3,5
2933,ECE3501,IoT Fundamentals,Dr. harinarayan,3,4,2,3,5
2934,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. sajida,2,1,1,5,2
2935,CSE3020 ,Data Visualization,Dr. jaffar,1,5,3,1,4
2936,CSE2011 ,Data Structures and Algorithms,Dr. chhotudevi,3,4,2,3,2
2937,CSE3006 ,Embedded System Design,Dr. tafsir,5,1,1,5,3
2938,CSE2023,Robotic Process Automation,Dr. shavani,4,5,3,5,4
2939,CSE4019 ,Image Processing,Dr. chappla,4,3,1,2,3
2940,CSE2001 ,Computer Architecture and Organization,Dr. parvez,3,3,4,5,4
2941,CSE3002 ,Internet and Web Programming,Dr. sabreen,3,1,2,4,5
2942,MAT3004 ,Applied Linear Algebra,Dr. shahib,2,4,0,1,2
2943,CSE4019 ,Image Processing,Dr. dauad,4,5,2,2,3
2944,CSE2013,Theory of Computation,Dr. manvi,1,4,1,2,2
2945,CSE3021 ,Social and Information Networks,Dr. sarah,2,1,2,1,3
2946,CSE3501,Information Security Analysis and Audit,Dr. vadhi,4,5,1,3,2
2947,CSE2013,Theory of Computation,Dr. sandiya,4,1,1,1,4
2948,CSE3006 ,Embedded System Design,Dr. suganti,5,2,1,2,3
2949,CSE3011 ,Robotics and its Applications,Dr. chandrakala,2,4,2,4,5
2950,CSE3001 ,Software Engineering,Dr. parul,4,2,4,3,5
2951,CSE1007 ,Java Programming,Dr. shispal,3,1,6,4,5
2952,MAT1014,Discrete Mathematics and Graph Theory,Dr. kesavi,2,2,1,4,3
2953,CSE3018 ,Content Based Image and Video Retrieval,Dr. chandrika,5,3,1,4,4
2954,CSE3025 ,Large Scale Data Processing,Dr. aazad,2,1,0,2,3
2955,ECE3502,IoT Domain Analyst,Dr. phool,1,1,2,4,3
2956,CSE2013,Theory of Computation,Dr. gantantra,2,1,1,3,4
2957,MAT3004 ,Applied Linear Algebra,Dr. meenaz,5,5,0,1,4
2958,CSE4011 ,Virtualization,Dr. nitasha,1,2,1,3,4
2959,CSE3011 ,Robotics and its Applications,Dr. aastha,1,5,1,2,4
2960,MAT3004 ,Applied Linear Algebra,Dr. haider,1,5,1,4,3
2961,CSE3501,Information Security Analysis and Audit,Dr. arif,5,3,1,1,3
2962,CSE2014,Compiler Design,Dr. vinna,5,1,2,4,2
2963,CSE2013,Theory of Computation,Dr. firida,4,3,3,3,5
2964,CSE4020 ,Machine Learning,Dr. vasa,5,1,2,2,3
2965,CSE3006 ,Embedded System Design,Dr. sajida,1,2,0,1,4
2966,CSE4015 ,Human Computer Interaction,Dr. guluram,1,3,2,3,3
2967,CSE4020 ,Machine Learning,Dr. awdesh,3,2,1,4,4
2968,CSE2012,Design and analysis of algorithms,Dr. abhinwav,5,5,4,2,5
2969,CSE2014,Compiler Design,Dr. rachna(with,5,4,2,1,3
2970,CSE4001 ,Parallel and Distributed Computing,Dr. kalyan,4,5,2,5,2
2971,CSE2023,Robotic Process Automation,Dr. khushboo,3,5,1,3,2
2972,ECE3501,IoT Fundamentals,Dr. ujjawal,4,2,3,4,5
2973,CSE3006 ,Embedded System Design,Dr. gyarsi,2,2,3,5,4
2974,CSE2001 ,Computer Architecture and Organization,Dr. cheete,1,5,4,1,5
2975,CSE3025 ,Large Scale Data Processing,Dr. manojkumar,4,2,2,5,4
2976,CSE3013 ,Artificial Intelligence,Dr. umrawti,4,1,2,4,3
2977,CSE4011 ,Virtualization,Dr. laxminarain,1,3,3,1,4
2978,CSE4011 ,Virtualization,Dr. nirmaljeet,2,1,1,2,5
2979,CSE3021 ,Social and Information Networks,Dr. sarfaraj,4,3,2,1,2
2980,CSE3029 ,Game Programming,Dr. kartika,5,4,0,1,2
2981,MAT1014,Discrete Mathematics and Graph Theory,Dr. reetu,3,5,1,2,4
2982,CSE3020 ,Data Visualization,Dr. soona,3,3,2,5,3
2983,CSE3013 ,Artificial Intelligence,Dr. sarmila,4,1,3,5,4
2984,CSE2006 ,Microprocessor and Interfacing,Dr. dauji,3,1,0,1,2
2985,CSE4011 ,Virtualization,Dr. durganand,3,5,0,4,3
2986,CSE2005 ,Operating Systems,Dr. pappe,3,4,4,3,4
2987,CSE3505,Foundations of Data Analytics,Dr. ramwati,3,5,3,4,2
